x, true, terminal, branch, branch, bsde
-4.737373737373737015e+01,-9.958783590073767567e-01,-9.913144730138245819e-01,-9.973213076591491699e-01,-9.963831901550292969e-01,-9.949928522109985352e-01
-4.595959595959595845e+01,-9.952552457625998272e-01,-9.900083100637919742e-01,-9.972591400146484375e-01,-9.963431358337402344e-01,-9.942454099655151367e-01
-4.454545454545454675e+01,-9.945384463423203592e-01,-9.885079984097712158e-01,-9.971745610237121582e-01,-9.963375926017761230e-01,-9.933776855468750000e-01
-4.313131313131313505e+01,-9.937140425547277278e-01,-9.867854130770994381e-01,-9.970561265945434570e-01,-9.963482022285461426e-01,-9.923807382583618164e-01
-4.171717171717171624e+01,-9.927661028301379975e-01,-9.848085901619929583e-01,-9.968900680541992188e-01,-9.963443875312805176e-01,-9.912447929382324219e-01
-4.030303030303030454e+01,-9.916764085801113016e-01,-9.825412784471478922e-01,-9.966591596603393555e-01,-9.962846040725708008e-01,-9.899595379829406738e-01
-3.888888888888888573e+01,-9.904241491193128688e-01,-9.799424634621496377e-01,-9.963421821594238281e-01,-9.961223602294921875e-01,-9.885123968124389648e-01
-3.747474747474747403e+01,-9.889855834829677228e-01,-9.769658713181146314e-01,-9.959135055541992188e-01,-9.958152770996093750e-01,-9.868881106376647949e-01
-3.606060606060606233e+01,-9.873336681325308728e-01,-9.735594636786228939e-01,-9.953417778015136719e-01,-9.953354597091674805e-01,-9.850664138793945312e-01
-3.464646464646464352e+01,-9.854376505492687954e-01,-9.696649404355517365e-01,-9.945896267890930176e-01,-9.946713447570800781e-01,-9.830217361450195312e-01
-3.323232323232323182e+01,-9.832626301784518352e-01,-9.652172732300303704e-01,-9.936118125915527344e-01,-9.938228726387023926e-01,-9.807211160659790039e-01
-3.181818181818182012e+01,-9.807690902375834074e-01,-9.601443010541104162e-01,-9.923545718193054199e-01,-9.927851557731628418e-01,-9.781249165534973145e-01
