x, true, terminal, branch, branch, dgm, bsde
-2.060606060606060552e+00,1.313259748440141816e+00,1.269992349600733261e+00,1.313202857971191406e+00,1.312521338462829590e+00,1.313131570816040039e+00,1.309461236000061035e+00
-1.979797979797979668e+00,1.307474827116699601e+00,1.261117114261128158e+00,1.306963086128234863e+00,1.306916952133178711e+00,1.307355761528015137e+00,1.303462982177734375e+00
-1.898989898989898784e+00,1.301262343407126432e+00,1.251638515362455628e+00,1.300424337387084961e+00,1.301106214523315430e+00,1.301157474517822266e+00,1.297054767608642578e+00
-1.818181818181817899e+00,1.294595657394991273e+00,1.241526936812329618e+00,1.293563127517700195e+00,1.295043349266052246e+00,1.294508695602416992e+00,1.290244817733764648e+00
-1.737373737373737015e+00,1.287447264895279497e+00,1.230753051462815773e+00,1.286333441734313965e+00,1.288632154464721680e+00,1.287380456924438477e+00,1.283072352409362793e+00
-1.656565656565656575e+00,1.279788904671094629e+00,1.219288133304681665e+00,1.278668761253356934e+00,1.281720399856567383e+00,1.279743552207946777e+00,1.275582551956176758e+00
-1.575757575757575690e+00,1.271591692599273404e+00,1.207104408277564822e+00,1.270486474037170410e+00,1.274109125137329102e+00,1.271567702293395996e+00,1.267779707908630371e+00
-1.494949494949494806e+00,1.262826285491130518e+00,1.194175443289531513e+00,1.261689901351928711e+00,1.265569210052490234e+00,1.262822628021240234e+00,1.259587883949279785e+00
-1.414141414141413922e+00,1.253463077140917203e+00,1.180476571902055571e+00,1.252174615859985352e+00,1.255879044532775879e+00,1.253478169441223145e+00,1.250841617584228516e+00
-1.333333333333333037e+00,1.243472428926465589e+00,1.165985353802697855e+00,1.241842508316040039e+00,1.244872331619262695e+00,1.243503808975219727e+00,1.241324663162231445e+00
-1.252525252525252153e+00,1.232824936902865209e+00,1.150682063671008004e+00,1.230626344680786133e+00,1.232499599456787109e+00,1.232869863510131836e+00,1.230843067169189453e+00
-1.171717171717171269e+00,1.221491736790443650e+00,1.134550203370695121e+00,1.218520402908325195e+00,1.218899488449096680e+00,1.221547842025756836e+00,1.219301939010620117e+00
-1.090909090909090828e+00,1.209444847544404844e+00,1.117577029616230622e+00,1.205592870712280273e+00,1.204468488693237305e+00,1.209509730339050293e+00,1.206769347190856934e+00
-1.010101010101009944e+00,1.196657553290716880e+00,1.099754087425702576e+00,1.191953659057617188e+00,1.189896821975708008e+00,1.196729183197021484e+00,1.193492889404296875e+00
-9.292929292929290597e-01,1.183104822312697646e+00,1.081077737862672139e+00,1.177658796310424805e+00,1.176071882247924805e+00,1.183180570602416992e+00,1.179806947708129883e+00
-8.484848484848481753e-01,1.168763760475168167e+00,1.061549666883703669e+00,1.162574410438537598e+00,1.163708686828613281e+00,1.168841481208801270e+00,1.165926933288574219e+00
-7.676767676767672910e-01,1.153614094988989036e+00,1.041177360654883088e+00,1.146308898925781250e+00,1.152691125869750977e+00,1.153690814971923828e+00,1.151748299598693848e+00
-6.868686868686864067e-01,1.137638682772708076e+00,1.019974531599090906e+00,1.128412961959838867e+00,1.141593694686889648e+00,1.137710809707641602e+00,1.136832952499389648e+00
