x, true, terminal
5.353535353535353591e-01,9.780566030966646451e-01,9.780566030966646451e-01
5.454545454545455252e-01,9.809360569750424919e-01,9.809360569750424919e-01
5.555555555555555802e-01,9.838036568999024567e-01,9.838036568999024567e-01
5.656565656565657463e-01,9.866593334647351110e-01,9.866593334647351110e-01
5.757575757575758013e-01,9.895030190018311300e-01,9.895030190018311300e-01
5.858585858585858563e-01,9.923346475803427325e-01,9.923346475803427325e-01
5.959595959595960224e-01,9.951541550038935924e-01,9.951541550038935924e-01
6.060606060606060774e-01,9.979614788077360021e-01,9.979614788077360021e-01
6.161616161616162435e-01,1.000756558255470718e+00,1.000756558255470718e+00
6.262626262626262985e-01,1.003539334335325162e+00,1.003539334335325162e+00
6.363636363636364646e-01,1.006309749756005179e+00,1.006309749756005179e+00
6.464646464646465196e-01,1.009067748942122922e+00,1.009067748942122922e+00
6.565656565656565746e-01,1.011813278029206398e+00,1.011813278029206398e+00
6.666666666666667407e-01,1.014546284858301561e+00,1.014546284858301561e+00
6.767676767676767957e-01,1.017266718970170514e+00,1.017266718970170514e+00
6.868686868686869618e-01,1.019974531599091350e+00,1.019974531599091350e+00
6.969696969696970168e-01,1.022669675666273648e+00,1.022669675666273648e+00
7.070707070707071829e-01,1.025352105772889599e+00,1.025352105772889599e+00
7.171717171717172379e-01,1.028021778192728775e+00,1.028021778192728775e+00
7.272727272727272929e-01,1.030678650864490731e+00,1.030678650864490731e+00
7.373737373737374590e-01,1.033322683383715024e+00,1.033322683383715024e+00
7.474747474747475140e-01,1.035953836994357946e+00,1.035953836994357946e+00
7.575757575757576801e-01,1.038572074580027760e+00,1.038572074580027760e+00
7.676767676767677351e-01,1.041177360654883310e+00,1.041177360654883310e+00
7.777777777777777901e-01,1.043769661354198686e+00,1.043769661354198686e+00
7.878787878787879562e-01,1.046348944424613014e+00,1.046348944424613014e+00
7.979797979797980112e-01,1.048915179214062077e+00,1.048915179214062077e+00
8.080808080808081773e-01,1.051468336661406600e+00,1.051468336661406600e+00
