x, true, terminal, branch, branch, dgm, bsde
-1.229774645621036555e+01,-9.904241491193128688e-01,-9.799424634621496377e-01,-9.883246421813964844e-01,-9.880857467651367188e-01,-9.957537651062011719e-01,-9.883961677551269531e-01
-1.185055567598453408e+01,-9.889855834829677228e-01,-9.769658713181146314e-01,-9.867053031921386719e-01,-9.865571856498718262e-01,-9.947044253349304199e-01,-9.868783950805664062e-01
-1.140336489575870260e+01,-9.873336681325308728e-01,-9.735594636786228939e-01,-9.848696589469909668e-01,-9.848319292068481445e-01,-9.934564828872680664e-01,-9.851840138435363770e-01
-1.095617411553287113e+01,-9.854376505492687954e-01,-9.696649404355518476e-01,-9.827901721000671387e-01,-9.828829765319824219e-01,-9.919803738594055176e-01,-9.832636713981628418e-01
-1.050898333530703965e+01,-9.832626301784518352e-01,-9.652172732300303704e-01,-9.804360270500183105e-01,-9.806799888610839844e-01,-9.902423024177551270e-01,-9.810589551925659180e-01
-1.006179255508120818e+01,-9.807690902375834074e-01,-9.601443010541104162e-01,-9.777728915214538574e-01,-9.781886935234069824e-01,-9.882043600082397461e-01,-9.785094261169433594e-01
-9.614601774855376703e+00,-9.779124066962692208e-01,-9.543664288698656684e-01,-9.747633934020996094e-01,-9.753710031509399414e-01,-9.858239293098449707e-01,-9.755560159683227539e-01
-9.167410994629545229e+00,-9.746423444505776246e-01,-9.477964814295410934e-01,-9.713661074638366699e-01,-9.721828699111938477e-01,-9.830525517463684082e-01,-9.721425175666809082e-01
-8.720220214403713754e+00,-9.709025555440996547e-01,-9.403397769808251594e-01,-9.675368070602416992e-01,-9.685742259025573730e-01,-9.798358082771301270e-01,-9.682174921035766602e-01
-8.273029434177882280e+00,-9.666301004261713681e-01,-9.318944986535737662e-01,-9.632270932197570801e-01,-9.644879102706909180e-01,-9.761134386062622070e-01,-9.637305140495300293e-01
-7.825838653952050805e+00,-9.617550208572679393e-01,-9.223524539165752767e-01,-9.583848714828491211e-01,-9.598585367202758789e-01,-9.718176722526550293e-01,-9.586310386657714844e-01
-7.378647873726219331e+00,-9.562000022835388524e-01,-9.116003227929415642e-01,-9.529525041580200195e-01,-9.546116590499877930e-01,-9.668737649917602539e-01,-9.528658986091613770e-01
-6.931457093500387856e+00,-9.498801742982829754e-01,-8.995215009861547983e-01,-9.468646049499511719e-01,-9.486643671989440918e-01,-9.611992835998535156e-01,-9.463773965835571289e-01
-6.484266313274556381e+00,-9.427031099772980038e-01,-8.859986413168794428e-01,-9.400449991226196289e-01,-9.419239163398742676e-01,-9.547044038772583008e-01,-9.391020536422729492e-01
-6.037075533048724907e+00,-9.345690978957785777e-01,-8.709169817721655882e-01,-9.324032068252563477e-01,-9.342869520187377930e-01,-9.472910165786743164e-01,-9.309670329093933105e-01
-5.589884752822893432e+00,-9.253717735395832200e-01,-8.541685164650849593e-01,-9.238339662551879883e-01,-9.256356358528137207e-01,-9.388545751571655273e-01,-9.218865633010864258e-01
-5.142693972597061958e+00,-9.149992080509599113e-01,-8.356570125831239704e-01,-9.142171740531921387e-01,-9.158343076705932617e-01,-9.292837381362915039e-01,-9.117552042007446289e-01
-4.695503192371230483e+00,-9.033355594992689142e-01,-8.153037990090655773e-01,-9.034247398376464844e-01,-9.047344326972961426e-01,-9.184614419937133789e-01,-9.004419445991516113e-01
-4.248312412145399009e+00,-8.902633920151420410e-01,-7.930541506528423490e-01,-8.913246989250183105e-01,-8.921922445297241211e-01,-9.062668085098266602e-01,-8.877889513969421387e-01
-3.801121631919567534e+00,-8.756667572479253092e-01,-7.688839712351154265e-01,-8.777822256088256836e-01,-8.781119585037231445e-01,-8.925775289535522461e-01,-8.736198544502258301e-01
-3.353930851693736059e+00,-8.594351062191103452e-01,-7.428063472356177810e-01,-8.626467585563659668e-01,-8.624788522720336914e-01,-8.772708773612976074e-01,-8.577696084976196289e-01
-2.906740071467904585e+00,-8.414680532665187451e-01,-7.148774250585993029e-01,-8.457277417182922363e-01,-8.453379869461059570e-01,-8.602266311645507812e-01,-8.401314020156860352e-01
-2.459549291242073110e+00,-8.216809438923076137e-01,-6.852009766653156531e-01,-8.267830610275268555e-01,-8.266826868057250977e-01,-8.413296937942504883e-01,-8.207001686096191406e-01
-2.012358511016241636e+00,-8.000110838086447185e-01,-6.539309937088768621e-01,-8.055890798568725586e-01,-8.063265681266784668e-01,-8.204735517501831055e-01,-7.995835542678833008e-01
-1.565167730790410161e+00,-7.764243703059212631e-01,-6.212717117703228098e-01,-7.821235656738281250e-01,-7.839516401290893555e-01,-7.975668907165527344e-01,-7.769538164138793945e-01
-1.117976950564578686e+00,-7.509219381102776314e-01,-5.874746295981817523e-01,-7.566432952880859375e-01,-7.594155073165893555e-01,-7.725422382354736328e-01,-7.529631853103637695e-01
-6.707861703387472119e-01,-7.235463060599579554e-01,-5.528323503326416644e-01,-7.295473814010620117e-01,-7.327448129653930664e-01,-7.453714609146118164e-01,-7.275778651237487793e-01
-2.235953901129157373e-01,-6.943864109770060411e-01,-5.176694067884356487e-01,-7.000524401664733887e-01,-7.043627500534057617e-01,-7.160784006118774414e-01,-7.003194689750671387e-01
2.235953901129157373e-01,-6.635808682824484439e-01,-4.823305932115643513e-01,-6.675269603729248047e-01,-6.725173592567443848e-01,-6.847530603408813477e-01,-6.704932451248168945e-01
6.707861703387472119e-01,-6.313188319118138159e-01,-4.471676496673582801e-01,-6.370640993118286133e-01,-6.363685727119445801e-01,-6.515590548515319824e-01,-6.383416652679443359e-01
