x, true, terminal, branch, branch, bsde
-7.340627198862945590e+01,-9.825845436699610636e-01,-9.638349987798122687e-01,-9.958472251892089844e-01,-9.960171580314636230e-01,-6.952749729156494141e+00
-7.114761746590239966e+01,-9.807690902375834074e-01,-9.601443010541103051e-01,-9.951232671737670898e-01,-9.951745867729187012e-01,-6.952313423156738281e+00
-6.888896294317532920e+01,-9.787684763094329776e-01,-9.560941188500609034e-01,-9.942509531974792480e-01,-9.941658973693847656e-01,-6.949784755706787109e+00
-6.663030842044827295e+01,-9.765647093213618568e-01,-9.516530772801021776e-01,-9.932057261466979980e-01,-9.929676055908203125e-01,-6.944815158843994141e+00
-6.437165389772121671e+01,-9.741382421373057099e-01,-9.467878292260889506e-01,-9.919606447219848633e-01,-9.915541410446166992e-01,-6.937472343444824219e+00
-6.211299937499416046e+01,-9.714678811639536615e-01,-9.414630971256321423e-01,-9.904850721359252930e-01,-9.898976087570190430e-01,-6.928637027740478516e+00
-5.985434485226709711e+01,-9.685306988827222519e-01,-9.356417590466012957e-01,-9.887456893920898438e-01,-9.879678487777709961e-01,-6.919879913330078125e+00
-5.759569032954003376e+01,-9.653019537250795423e-01,-9.292849879728563023e-01,-9.867057800292968750e-01,-9.857317805290222168e-01,-6.912574768066406250e+00
-5.533703580681297751e+01,-9.617550208572679393e-01,-9.223524539165751657e-01,-9.843260049819946289e-01,-9.831542968750000000e-01,-6.907552242279052734e+00
-5.307838128408591416e+01,-9.578613381588951814e-01,-9.148025989384116485e-01,-9.815632104873657227e-01,-9.801982045173645020e-01,-6.905103206634521484e+00
-5.081972676135885791e+01,-9.535903724713563623e-01,-9.065929952831678351e-01,-9.783719182014465332e-01,-9.768236875534057617e-01,-6.903231143951416016e+00
-4.856107223863179456e+01,-9.489096120446036675e-01,-8.976807964919297778e-01,-9.747034907341003418e-01,-9.729890823364257812e-01,-6.897609710693359375e+00
-4.630241771590473832e+01,-9.437845920034724223e-01,-8.880232903802529609e-01,-9.705076217651367188e-01,-9.686502218246459961e-01,-6.886207580566406250e+00
-4.404376319317768207e+01,-9.381789605552341982e-01,-8.775785610137869508e-01,-9.657316207885742188e-01,-9.637613296508789062e-01,-6.871235847473144531e+00
-4.178510867045061161e+01,-9.320545945218006167e-01,-8.663062641061464175e-01,-9.603211283683776855e-01,-9.582732319831848145e-01,-6.856090545654296875e+00
-3.952645414772355537e+01,-9.253717735395832200e-01,-8.541685164650849593e-01,-9.542205929756164551e-01,-9.521329998970031738e-01,-6.843263149261474609e+00
-3.726779962499649912e+01,-9.180894228446747629e-01,-8.411308951190847871e-01,-9.473727941513061523e-01,-9.452824592590332031e-01,-6.832762241363525391e+00
-3.500914510226942866e+01,-9.101654348468949385e-01,-8.271635355338109452e-01,-9.397190809249877930e-01,-9.376565217971801758e-01,-6.822752952575683594e+00
-3.275049057954237242e+01,-9.015570795682006366e-01,-8.122423109451795131e-01,-9.311995506286621094e-01,-9.291796684265136719e-01,-6.811337471008300781e+00
-3.049183605681531617e+01,-8.922215133344686411e-01,-7.963500664977807286e-01,-9.217554330825805664e-01,-9.197665452957153320e-01,-6.798107147216796875e+00
-2.823318153408825992e+01,-8.821163937059646187e-01,-7.794778729544306062e-01,-9.113332033157348633e-01,-9.093200564384460449e-01,-6.783204555511474609e+00
-2.597452701136118947e+01,-8.712006063473582973e-01,-7.616262557896031904e-01,-8.998883366584777832e-01,-8.977363705635070801e-01,-6.766674995422363281e+00
-2.371587248863413322e+01,-8.594351062191103452e-01,-7.428063472356177810e-01,-8.873815536499023438e-01,-8.849136233329772949e-01,-6.747992038726806641e+00
-2.145721796590707697e+01,-8.467838709949191411e-01,-7.230409022118411411e-01,-8.737398982048034668e-01,-8.707689046859741211e-01,-6.726612091064453125e+00
-1.919856344318000652e+01,-8.332149589077775254e-01,-7.023651150255775244e-01,-8.587495088577270508e-01,-8.552590608596801758e-01,-6.701941013336181641e+00
-1.693990892045295027e+01,-8.187016563211347853e-01,-6.808271732785295960e-01,-8.419483900070190430e-01,-8.384048342704772949e-01,-6.673647403717041016e+00
-1.468125439772589402e+01,-8.032236923546069995e-01,-6.584884894025206936e-01,-8.228353261947631836e-01,-8.202937841415405273e-01,-6.641770362854003906e+00
-1.242259987499883778e+01,-7.867684891624728838e-01,-6.354235592583608039e-01,-8.015649914741516113e-01,-8.010190725326538086e-01,-6.606713771820068359e+00
-1.016394535227176732e+01,-7.693324074430358817e-01,-6.117194114071613509e-01,-7.796100378036499023e-01,-7.805582284927368164e-01,-6.569208621978759766e+00
-7.905290829544711073e+00,-7.509219381102776314e-01,-5.874746295981817523e-01,-7.591654062271118164e-01,-7.593699097633361816e-01,-6.530171871185302734e+00
-5.646636306817654827e+00,-7.315547836209173038e-01,-5.627979536943824579e-01,-7.395442128181457520e-01,-7.439664602279663086e-01,-6.490632057189941406e+00
-3.387981784090584370e+00,-7.112607671809704213e-01,-5.378064890731509839e-01,-7.139177918434143066e-01,-7.286602854728698730e-01,-6.451707363128662109e+00
-1.129327261363528123e+00,-6.900825059609518863e-01,-5.126235794300749715e-01,-6.833833456039428711e-01,-6.917665004730224609e-01,-6.414440155029296875e+00
1.129327261363528123e+00,-6.680757864594758511e-01,-4.873764205699249730e-01,-6.580518484115600586e-01,-6.605149507522583008e-01,-6.380055427551269531e+00
3.387981784090584370e+00,-6.453095869856094735e-01,-4.621935109268490161e-01,-6.389733552932739258e-01,-6.378456950187683105e-01,-6.349863052368164062e+00
5.646636306817654827e+00,-6.218657042259895240e-01,-4.372020463056174866e-01,-6.141729354858398438e-01,-6.136940717697143555e-01,-6.325467109680175781e+00
7.905290829544711073e+00,-5.978379578630851343e-01,-4.125253704018182477e-01,-5.915570259094238281e-01,-5.865405797958374023e-01,-6.308492183685302734e+00
1.016394535227176732e+01,-5.733309684611743728e-01,-3.882805885928386491e-01,-5.646835565567016602e-01,-5.593236684799194336e-01,-6.299855232238769531e+00
1.242259987499882357e+01,-5.484585279732769880e-01,-3.645764407416394182e-01,-5.356557965278625488e-01,-5.324118137359619141e-01,-6.298956394195556641e+00
1.468125439772589402e+01,-5.233416073550930525e-01,-3.415115105974793064e-01,-5.068432092666625977e-01,-5.056341290473937988e-01,-6.303592681884765625e+00
1.693990892045295027e+01,-4.981060696641056995e-01,-3.191728267214704040e-01,-4.791854321956634521e-01,-4.790382385253906250e-01,-6.311114788055419922e+00
1.919856344318000652e+01,-4.728801773525945773e-01,-2.976348849744224756e-01,-4.526926875114440918e-01,-4.527996182441711426e-01,-6.319918632507324219e+00
2.145721796590706276e+01,-4.477919971348236494e-01,-2.769590977881589144e-01,-4.270780086517333984e-01,-4.270443022251129150e-01,-6.329371452331542969e+00
2.371587248863411901e+01,-4.229668132462268137e-01,-2.571936527643823300e-01,-4.021112918853759766e-01,-4.018336832523345947e-01,-6.339293479919433594e+00
2.597452701136120368e+01,-3.985246592997193638e-01,-2.383737442103966986e-01,-3.777093589305877686e-01,-3.772167861461639404e-01,-6.349802970886230469e+00
2.823318153408825992e+01,-3.745780703489913765e-01,-2.205221270455693938e-01,-3.538947105407714844e-01,-3.532599806785583496e-01,-6.360814094543457031e+00
3.049183605681531617e+01,-3.512301411319883604e-01,-2.036499335022192714e-01,-3.307385742664337158e-01,-3.300455808639526367e-01,-6.371846675872802734e+00
3.275049057954237242e+01,-3.285729554602472291e-01,-1.877576890548205424e-01,-3.083289265632629395e-01,-3.076592087745666504e-01,-6.382133007049560547e+00
3.500914510226942866e+01,-3.066864274922663780e-01,-1.728364644661891103e-01,-2.867569327354431152e-01,-2.861773371696472168e-01,-6.391048431396484375e+00
