x, true, terminal, branch, branch, bsde
3.674047167570336114e+00,9.040315595839250040e-01,7.392166022180426399e-01,9.033082127571105957e-01,9.167561531066894531e-01,nan
6.123411945950564927e+00,8.590803864000026158e-01,6.907582904471518681e-01,8.562089800834655762e-01,8.549240231513977051e-01,nan
8.572776724330807951e+00,8.126130061772232072e-01,6.423230880614103633e-01,8.079202771186828613e-01,8.086489439010620117e-01,nan
1.102214150271102255e+01,7.650231185068661066e-01,5.943769951676393104e-01,7.577161788940429688e-01,7.611796259880065918e-01,nan
1.347150628109126558e+01,7.167451387184236022e-01,5.473676399668154779e-01,7.067302465438842773e-01,7.116916775703430176e-01,nan
1.592087105947150860e+01,6.682391324310800185e-01,5.017082057147835839e-01,6.557045578956604004e-01,6.615560650825500488e-01,nan
1.837023583785172320e+01,6.199737812361550970e-01,4.577639544411885586e-01,6.053705811500549316e-01,6.118654012680053711e-01,nan
2.081960061623196623e+01,5.724086752644915732e-01,4.158421969181048672e-01,5.566269159317016602e-01,5.633360743522644043e-01,nan
2.326896539461218083e+01,5.259773158453719955e-01,3.761861545413410779e-01,5.101807713508605957e-01,5.163695216178894043e-01,nan
2.571833017299242385e+01,4.810721192335934981e-01,3.389727424935638500e-01,4.662910401821136475e-01,4.712060391902923584e-01,nan
2.816769495137263846e+01,4.380324581346087820e-01,3.043139372679709020e-01,4.248696267604827881e-01,4.280597269535064697e-01,nan
3.061705972975288148e+01,3.971364089684000787e-01,2.722611199074964072e-01,3.857294917106628418e-01,3.871599137783050537e-01,nan
3.306642450813309608e+01,3.585964547129495417e-01,2.428116299908759934e-01,3.487590849399566650e-01,3.487256765365600586e-01,nan
3.551578928651333911e+01,3.225589931919135012e-01,2.159167222961666244e-01,3.139669299125671387e-01,3.129281401634216309e-01,nan
3.796515406489358213e+01,2.891071741283607888e-01,1.914901686462779640e-01,2.814439833164215088e-01,2.798661291599273682e-01,nan
4.041451884327379673e+01,2.582663690319508820e-01,1.694168627025130769e-01,2.512962222099304199e-01,2.495628595352172852e-01,nan
4.286388362165403976e+01,2.300114757276073840e-01,1.495609346826309860e-01,2.235924005508422852e-01,2.219738215208053589e-01,nan
4.531324840003425436e+01,2.042752629217551297e-01,1.317730393828323854e-01,1.983395516872406006e-01,1.970018595457077026e-01,nan
4.776261317841449738e+01,1.809570446832429458e-01,1.158966248342606642e-01,1.754829883575439453e-01,1.745111048221588135e-01,nan
5.021197795679471199e+01,1.599311094250380760e-01,1.017731086439200017e-01,1.549194604158401489e-01,1.543416976928710938e-01,nan
5.266134273517495501e+01,1.410544834612901810e-01,8.924597972233580534e-02,1.365127414464950562e-01,1.363196074962615967e-01,nan
5.511070751355516961e+01,1.241737617960428225e-01,7.816390502580283783e-02,1.201069578528404236e-01,1.202652230858802795e-01,nan
5.756007229193541264e+01,1.091308725089621678e-01,6.838295770741129043e-02,1.055375933647155762e-01,1.059999838471412659e-01,nan
6.000943707031565566e+01,9.576774756858032200e-02,5.976809978160167736e-02,9.263947606086730957e-02,9.335038810968399048e-02,nan
6.245880184869587026e+01,8.392994993635159717e-02,5.219405445489599948e-02,8.125126361846923828e-02,8.215171098709106445e-02,nan
6.490816662707611329e+01,7.346935649764142762e-02,4.554569556675643061e-02,7.121904939413070679e-02,7.224963605403900146e-02,nan
6.735753140545632789e+01,6.424602313481894700e-02,3.971806815145788316e-02,6.239910051226615906e-02,6.350262463092803955e-02,nan
6.980689618383657091e+01,5.612936750623936238e-02,3.461613802652752092e-02,5.465770512819290161e-02,5.578102916479110718e-02,nan
7.225626096221678552e+01,4.899880205067381339e-02,3.015435167151080120e-02,4.787232726812362671e-02,4.896863922476768494e-02,nan
7.470562574059702854e+01,4.274393892827510477e-02,2.625607185156062298e-02,4.193138703703880310e-02,4.296100512146949768e-02,nan
7.715499051897727156e+01,3.726447361429374716e-02,2.285294024115343617e-02,3.673406690359115601e-02,3.766524791717529297e-02,nan
7.960435529735748617e+01,3.246983729230096261e-02,1.988420606677403918e-02,3.218922764062881470e-02,3.299871832132339478e-02,nan
8.205372007573772919e+01,2.827869180814261696e-02,1.729604958219613936e-02,2.821557782590389252e-02,2.888842299580574036e-02,nan
8.450308485411794379e+01,2.461832581688098640e-02,1.504092090991231492e-02,2.474034950137138367e-02,2.526975609362125397e-02,nan
8.695244963249818682e+01,2.142399744333805395e-02,1.307690822637773073e-02,2.169928699731826782e-02,2.208573929965496063e-02,nan
8.940181441087840142e+01,1.863825748777071453e-02,1.136714419575208385e-02,1.903557404875755310e-02,1.928523369133472443e-02,nan
9.185117918925864444e+01,1.621027791728450393e-02,9.879255720211274280e-03,1.669934950768947601e-02,1.682361960411071777e-02,nan
9.430054396763888747e+01,1.409520293250956895e-02,8.584859243212042759e-03,1.464729290455579758e-02,1.466084457933902740e-02,nan
9.674990874601910207e+01,1.225353406260010387e-02,7.459101809718510223e-03,1.284176297485828400e-02,1.276143640279769897e-02,nan
9.919927352439934509e+01,1.065055627276667409e-02,6.480246678387879995e-03,1.124995388090610504e-02,1.109364256262779236e-02,nan
1.016486383027795597e+02,9.255808725877879423e-03,5.629301348939625207e-03,9.844571352005004883e-03,9.629676118493080139e-03,nan
1.040980030811598027e+02,8.042601402894377499e-03,4.889685294730021156e-03,8.601622655987739563e-03,8.344343863427639008e-03,nan
1.065473678595400173e+02,6.987577063981163274e-03,4.246934381469184318e-03,7.500907871872186661e-03,7.215334568172693253e-03,nan
1.089967326379202603e+02,6.070316861147197901e-03,3.688438834112954534e-03,6.525444332510232925e-03,6.223078817129135132e-03,nan
1.114460974163004749e+02,5.272987161172431984e-03,3.203211628281362345e-03,5.660476628690958023e-03,5.350142717361450195e-03,nan
1.138954621946807180e+02,4.580024697410735313e-03,2.781684286871384700e-03,4.893914330750703812e-03,4.581023938953876495e-03,nan
1.163448269730609610e+02,3.977856956370685003e-03,2.415527224538279675e-03,4.215103574097156525e-03,3.902238560840487480e-03,nan
1.187941917514411756e+02,3.454654654091685907e-03,2.097491978676748955e-03,3.615010064095258713e-03,3.301805350929498672e-03,nan
1.212435565298214186e+02,3.000113218094234077e-03,1.821272878301842578e-03,3.085946198552846909e-03,2.769247163087129593e-03,nan
