x, true, terminal
5.589884752822893432e+00,3.971364089684000787e-01,2.722611199074964072e-01
6.037075533048724907e+00,3.585964547129495417e-01,2.428116299908759934e-01
6.484266313274556381e+00,3.225589931919135012e-01,2.159167222961666244e-01
6.931457093500387856e+00,2.891071741283607888e-01,1.914901686462779640e-01
7.378647873726219331e+00,2.582663690319504934e-01,1.694168627025126606e-01
7.825838653952050805e+00,2.300114757276073840e-01,1.495609346826309860e-01
8.273029434177882280e+00,2.042752629217547411e-01,1.317730393828323854e-01
8.720220214403713754e+00,1.809570446832425294e-01,1.158966248342606642e-01
9.167410994629545229e+00,1.599311094250380760e-01,1.017731086439195715e-01
9.614601774855376703e+00,1.410544834612901810e-01,8.924597972233580534e-02
1.006179255508120818e+01,1.241737617960424062e-01,7.816390502580240762e-02
1.050898333530703965e+01,1.091308725089617376e-01,6.838295770741129043e-02
1.095617411553287113e+01,9.576774756858032200e-02,5.976809978160167736e-02
1.140336489575870260e+01,8.392994993635159717e-02,5.219405445489599948e-02
1.185055567598453408e+01,7.346935649764142762e-02,4.554569556675643061e-02
1.229774645621036555e+01,6.424602313481894700e-02,3.971806815145788316e-02
1.274493723643619703e+01,5.612936750623936238e-02,3.461613802652752092e-02
1.319212801666202850e+01,4.899880205067381339e-02,3.015435167151080120e-02
1.363931879688785997e+01,4.274393892827467456e-02,2.625607185156062298e-02
1.408650957711369145e+01,3.726447361429374716e-02,2.285294024115343617e-02
1.453370035733952292e+01,3.246983729230096261e-02,1.988420606677403918e-02
1.498089113756535440e+01,2.827869180814261696e-02,1.729604958219613936e-02
1.542808191779118587e+01,2.461832581688098640e-02,1.504092090991231492e-02
1.587527269801701735e+01,2.142399744333805395e-02,1.307690822637773073e-02
1.632246347824284882e+01,1.863825748777071453e-02,1.136714419575208385e-02
1.676965425846868030e+01,1.621027791728450393e-02,9.879255720211274280e-03
1.721684503869451177e+01,1.409520293250956895e-02,8.584859243212042759e-03
1.766403581892034325e+01,1.225353406260010387e-02,7.459101809718510223e-03
1.811122659914617472e+01,1.065055627276667409e-02,6.480246678387879995e-03
1.855841737937200620e+01,9.255808725877879423e-03,5.629301348939625207e-03
1.900560815959783767e+01,8.042601402894377499e-03,4.889685294730021156e-03
1.945279893982366914e+01,6.987577063981163274e-03,4.246934381469184318e-03
1.989998972004950062e+01,6.070316861147197901e-03,3.688438834112954534e-03
2.034718050027533209e+01,5.272987161172431984e-03,3.203211628281362345e-03
2.079437128050116357e+01,4.580024697410735313e-03,2.781684286871384700e-03
2.124156206072699504e+01,3.977856956370685003e-03,2.415527224538279675e-03
2.168875284095282652e+01,3.454654654091685907e-03,2.097491978676748955e-03
2.213594362117865799e+01,3.000113218094234077e-03,1.821272878301842578e-03
